City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Los Llanos De Aridane,ES,28.6585,-17.9182,290.01,74,20,4.47,few clouds
199,Tuatapere,NZ,-46.1333,167.6833,290.27,54,54,2.12,broken clouds
200,Belaya Gora,RU,68.5333,146.4167,233.26,98,86,0.55,overcast clouds
201,Kirkenaer,NO,60.4564,12.0582,273.96,99,100,0.69,light snow
202,Hami,CN,42.8,93.45,267.7,44,30,1.87,scattered clouds
203,Viedma,AR,-40.8135,-62.9967,296.48,17,62,8.18,broken clouds
204,Yarada,IN,17.65,83.2667,296.02,80,33,4.65,scattered clouds
205,Comendador,DO,18.8775,-71.7028,296.89,68,30,2.43,scattered clouds
206,Huarmey,PE,-10.0681,-78.1522,294.52,78,82,3.8,broken clouds
207,Yumen,CN,40.2833,97.2,265.93,38,0,7.58,clear sky
208,Filotion,GR,37.05,25.5,286.43,76,84,1.34,broken clouds
209,Yerbogachen,RU,61.2767,108.0108,233.39,98,33,1.85,scattered clouds
210,Kosice,SK,48.6667,21.3333,275.06,82,0,8.75,clear sky
211,Fukue,JP,32.6881,128.8419,281.5,66,56,9.32,broken clouds
212,Mizdah,LY,31.4451,12.9801,282.19,60,72,3.48,broken clouds
213,Deputatskiy,RU,69.3,139.9,236.81,100,97,0.59,overcast clouds
214,Vanavara,RU,60.34,102.2797,233.27,99,38,1.38,scattered clouds
215,Finschhafen,PG,-6.6024,147.8681,301.9,72,99,1.33,moderate rain
216,Lagoa,PT,39.05,-27.9833,287.45,53,100,10.09,overcast clouds
217,Petushki,RU,55.9264,39.461,265.54,93,85,3.06,overcast clouds
218,Pirapemas,BR,-3.7267,-44.2233,300.15,72,90,2.76,overcast clouds
219,Mecca,SA,21.4267,39.8261,295.19,62,44,1.26,scattered clouds
220,Staunton,US,38.1496,-79.0717,279.04,39,1,2.06,clear sky
221,Blagoyevo,RU,63.3667,47.9167,257.41,94,62,2.34,broken clouds
222,Wattegama,LK,6.7989,81.4808,295.78,93,100,1.8,overcast clouds
223,Methven,NZ,-43.6333,171.65,290.94,69,79,0.89,broken clouds
224,Porto Novo,BJ,6.4965,2.6036,302.05,81,30,2.94,scattered clouds
